Name,Url,Telephone,AddressLocality,Latitude,Longitude,attraction_type
The Belfast Titanic Tour -  Finn McCools Tours,http://www.finnmccoolstours.com/,+353(0)18684101,Dublin City,53.3465802160448,-6.259074208620629,tour
Cliffs of Moher - Finn McCools Tours,http://www.finnmccoolstours.com/,+353(0)18684101,Dublin City,53.35098330706679,-6.260265109423241,tour
Macau Casino Club,http://www.macausportingclub.com,+353(0)14755377,Dublin City,53.3411714,-6.2656956,club
Patrick Donald Photography Gallery,http://www.patrickdonald.com,+353(0)15389937,Dawson Street,53.3414059447069,-6.258344300236441,gallery
DoDublin Tours – Live German Tour,http://dodublin.ie/deutsche-busausflug-dublin,+353(0)17033215,Dublin City,53.35046455139871,-6.26102866999258,tour
Carr Golf Travel,http://www.carrgolf.com,+353(0)18226662,Clonsilla,53.387156999999995,-6.349643,other
Barnageara Beach,,+353(0)18400077,Skerries,53.58666584073111,-6.14835903591612,bar
Bull Island,http://www.dublin.ie,+353(0)18331859,Dublin City,53.374989,-6.137493,other
High Schools International,http://www.hsinet.org,+353(0)16784800,Dublin City,53.338496,-6.243811,school
Dalkey Castle & Heritage Centre,http://www.dalkeycastle.com,+353(0)12858366,Dalkey,53.278024,-6.105461,heritage
Dublin Castle,http://www.dublincastle.ie,+353(0)16458813,Dublin City,53.3428995946208,-6.26741864418033,castle
Dublin City Hall,http://www.dublincityhall.ie,+353(0)12222204,Dublin City,53.3439224313735,-6.2671491693115495,other
Budget Car Rental,http://www.budget.ie,+353(0)906627711,Dublin Airport,53.427170999999994,-6.244319,rent
Malahide Castle and Howth Tour - DoDublin,http://dodublin.ie,+353(0)17033028,Dublin City,53.350462,-6.261029,castle
Ireland's Blue Book,http://irelandsbluebook.com,+353(0)16769914,Dublin City,53.33586702892429,-6.251290507995571,other
Independent Holiday Hostels of Ireland,http://www.hostels-ireland.com,+353(0)18364700,Dublin City,53.363275,-6.235937,hostel
An Oige Irish Youth Hostel Association,http://www.anoige.ie,+353(0)18304555,Dublin City,53.355939,-6.2683480000000005,hostel
Aircoach,http://www.aircoach.ie,+353(0)18447118,Dublin Airport,53.428486,-6.243069,other
Ardgillan Demesne,http://www.ardgillancastle.ie/,+353(0)18492212,Balbriggan,53.587163138001095,-6.15902969162262,other
Kaplan International College Dublin,http://www.kaplaninternational.com,+44(0)2087273532,Dublin City,53.344933,-6.268863,other
Centre of English Studies,http://www.ces-schools.com,+353(0)16714233,Dublin City,53.34406800000001,-6.263502,english
