Name,Url,Telephone,AddressLocality,Latitude,Longitude,attraction_type
The Belfast Titanic Tour -  Finn McCools Tours,http://www.finnmccoolstours.com/,+353(0)18684101,Dublin City,53.34658022,-6.259074209,tour
Cliffs of Moher - Finn McCools Tours,http://www.finnmccoolstours.com/,+353(0)18684101,Dublin City,53.35098331,-6.260265109,tour
Macau Casino Club,http://www.macausportingclub.com,+353(0)14755377,Dublin City,53.3411714,-6.2656956,club
Patrick Donald Photography Gallery,http://www.patrickdonald.com,+353(0)15389937,Dawson Street,53.34140594,-6.2583443,gallery
DoDublin Tours – Live German Tour,http://dodublin.ie/deutsche-busausflug-dublin,+353(0)17033215,Dublin City,53.35046455,-6.26102867,tour
Carr Golf Travel,http://www.carrgolf.com,+353(0)18226662,Clonsilla,53.387157,-6.349643,other
Barnageara Beach,,+353(0)18400077,Skerries,53.58666584,-6.148359036,bar
Bull Island,http://www.dublin.ie,+353(0)18331859,Dublin City,53.374989,-6.137493,other
High Schools International,http://www.hsinet.org,+353(0)16784800,Dublin City,53.338496,-6.243811,school
Dalkey Castle & Heritage Centre,http://www.dalkeycastle.com,+353(0)12858366,Dalkey,53.278024,-6.105461,heritage
Dublin Castle,http://www.dublincastle.ie,+353(0)16458813,Dublin City,53.34289959,-6.267418644,castle
Dublin City Hall,http://www.dublincityhall.ie,+353(0)12222204,Dublin City,53.34392243,-6.267149169,other
Budget Car Rental,http://www.budget.ie,+353(0)906627711,Dublin Airport,53.427171,-6.244319,rent
Malahide Castle and Howth Tour - DoDublin,http://dodublin.ie,+353(0)17033028,Dublin City,53.350462,-6.261029,castle
Ireland's Blue Book,http://irelandsbluebook.com,+353(0)16769914,Dublin City,53.33586703,-6.251290508,other
Independent Holiday Hostels of Ireland,http://www.hostels-ireland.com,+353(0)18364700,Dublin City,53.363275,-6.235937,hostel
An Oige Irish Youth Hostel Association,http://www.anoige.ie,+353(0)18304555,Dublin City,53.355939,-6.268348,hostel
Aircoach,http://www.aircoach.ie,+353(0)18447118,Dublin Airport,53.428486,-6.243069,other
Ardgillan Demesne,http://www.ardgillancastle.ie/,+353(0)18492212,Balbriggan,53.58716314,-6.159029692,other
Kaplan International College Dublin,http://www.kaplaninternational.com,+44(0)2087273532,Dublin City,53.344933,-6.268863,other
Centre of English Studies,http://www.ces-schools.com,+353(0)16714233,Dublin City,53.344068,-6.263502,english
Civic Theatre,http://www.civictheatre.ie,+353(0)14627477,Tallaght,53.288411,-6.372209,theatre
Contemporary Music Centre,http://www.cmc.ie,+353(0)16731922,Dublin City,53.344173,-6.269532,music
Dublin Mini Coaches & Chauffeur Drive,http://www.dublinminicoaches.com/,+353(0)1861780049,Dublin City,53.330439,-6.348238,other
Dualway Coaches,http://www.dualwaycoaches.com,+353(0)14580054,Rathcoole,53.277615,-6.491218,other
Dublin Garden Group,http://www.dublingardens.com,+353(0)12832934,Blackrock,53.298931,-6.189413,garden
Dublin Literary Pub Crawl,http://www.dublinpubcrawl.com,+353(0)16705602,Dublin City,53.343832,-6.260692,pub
Dublin Zoo,http://www.dublinzoo.ie,+353(0)14748900,Dublin City,53.355024,-6.304145,other
Dublinia,http://www.dublinia.ie,+353(0)16794611,Dublin City,53.34312274,-6.272000286,other
Eirebus Ltd,http://www.eirebus.ie,+353(0)18242626,Dublin City,53.414194,-6.359778,other
Emerald Cultural Institute,http://www.eci.ie,+353(0)14973361,Dublin City,53.313638,-6.259107,other
Enterprise Rent-A-Car,http://www.enterprise.ie,+353(0)14290200,Dublin City,53.324655,-6.347867,rent
Gate Theatre,http://www.gate-theatre.ie,+353(0)18744045,Dublin City,53.35304,-6.262278,theatre
Hidden Ireland,http://www.hiddenireland.com,+353(0)9866650,Dublin City,53.38883697,-6.300476465,other
International House Dublin,http://www.ihdublin.com,+353(0)16355850,Dublin City,53.334732,-6.265528,house
The Horner School Of English,http://www.hornerschool.ie,+353(0)16622911,Dublin City,53.336485,-6.249128,school
The Gaiety Theatre,http://www.gaietytheatre.ie,+353(0)16771717,Dublin City,53.340387,-6.26163,theatre
Irish Education Partners,http://www.iepartners.ie,+353(0)18550019,Dublin City,53.349898,-6.253597,art
Irish Jewish Museum,http://www.jewishmuseum.ie/,+353(0)14531797,South Circular Road,53.330748,-6.269414,museum
Irish Welcome Tours,http://www.irishwelcometours.com,+353(0)12933000,Sandyford,53.275545,-6.215983,tour
Irish College of English,http://www.iceireland.com,+353(0)18453744,Malahide,53.450155,-6.153319,english
The James Joyce Centre,http://www.jamesjoyce.ie,+353(0)18788547,Dublin City,53.354157,-6.259988,other
Croke Park Stadium,http://crokepark.ie/gaamuseum,+353(0)18192300,Dublin City,53.361245,-6.252428,park
Kilmainham Gaol,http://kilmainhamgaolmuseum.ie/,+353(0)14535984,Dublin City,53.34188988,-6.30978111,other
Language Learning International,http://www.lli.ie,+353(0)12143314,Blackrock,53.28968,-6.131484,other
Leopardstown Racecourse,http://leopardstown.com,+353(0)12890500,Leopardstown,53.265658,-6.194613,other
The Linguaviva Centre,http://www.linguaviva.com,+353(0)16789384,Dublin City,53.33297,-6.254029,other
Malahide Marina Village Ltd,,+353(0)18454129,Malahide,53.4558,-6.15427,other
