X,Y,OBJECTID,stop_name,stop_code,routes_served
-6.263693193,53.35224392,1,Parnell Square West,2,"38, 38A, 38B, 38D, 46A, 46E"
-6.263780716,53.35230811,2,Granby Place,3,"120, 122"
-6.264160838,53.35256531,3,Rotunda Hospital,4,"7, 7B, 7D, 8, 9"
-6.264439156,53.35274013,4,Saint Martin's Chapel,6,4
-6.264555613,53.35283171,5,Rotunda Hospital,7,"13, 140, 40, 40B, 40D"
-6.265389489,53.35338312,6,Parnell Square West,10,"1, 11, 44"
-6.264367217,53.35709832,7,Upper Dorset St (St.Joseph's Parade),11,"13, 40, 40B, 40D"
-6.264620231,53.35678741,8,Upper Dorset St (St.Joseph's Parade),12,"1, 11, 122, 16, 44"
-6.262731094,53.35853956,9,Lower Dorset Street,14,"1, 11, 122, 13, 16, 40, 40B, 40D, 44"
-6.260978774,53.36024874,10,Lower Dorset Street,15,"1, 11, 13, 16, 33, 40, 40B, 40D, 41, 41B, 41C, 44"
-6.305628132,53.36641872,11,John Paul Park,16,122
-6.258399655,53.36306934,12,Outside Train Station,17,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.255927152,53.3658465,13,Lower Drumcondra Road,18,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.25549885,53.36713453,14,Lower Drumcondra Road,19,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.254295947,53.370092,15,Saint Patrick's College,21,"1, 11, 13, 16, 33, 41, 41B, 41C, 44"
-6.252788732,53.37350339,16,Home Farm Road (Achill Road),22,11
-6.256245983,53.37422806,17,Ferguson Road,23,11
-6.260342306,53.37513272,18,Home Farm Road,24,11
-6.263617736,53.37589947,19,Rathlin Road,25,11
-6.266570239,53.37943874,20,Ballymun Road (Griffith Avenue),27,"11, 13, 4, 9"
-6.265987247,53.38157842,21,Glasnevin Tennis Club,28,"11, 13, 4, 9"
-6.265669101,53.38348825,22,Ballymun Road,29,"11, 13, 4, 9"
-6.304571486,53.37032249,23,Pope John Paul II Park,30,120
-6.268843052,53.38603301,24,Maolbuille Road,31,11
-6.271377201,53.38619557,25,Saint Pappin's Road,32,11
-6.271756115,53.38871771,26,Glasnevin Drive,33,11
-6.270910692,53.38620679,27,Dean Swift Road,35,11
-6.26787707,53.38612685,28,Saint Pappin's Road,36,11
-6.264871957,53.38534618,29,DCU Ballymun Road,37,"11, 13, 4, 9"
-6.265494497,53.38223638,30,Ballymun Road,38,"11, 13, 4, 9"
-6.265643736,53.38041397,31,Ballymun Road (Griffith Avenue),39,"11, 13, 4, 9"
-6.264668968,53.37666077,32,Mobhi Road,40,"11, 4, 9"
-6.261842985,53.37555905,33,Home Farm Road,41,11
-6.257446169,53.37465005,34,Ferguson Road,42,11
-6.253871269,53.37386078,35,Home Farm Road (Achill Road),43,11
-6.252117283,53.37301719,36,Homefarm Road,44,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.254139184,53.36988298,37,Upper Drumcondra Road,45,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.255362951,53.36715052,38,Botanic Avenue,46,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.257283606,53.36390692,39,Near Train Station,47,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.258760798,53.36231961,40,Lower Drumcondra Road,48,"1, 11, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.260870353,53.35995954,41,Lower Dorset Street,49,"1, 11, 13, 16, 16C, 33, 40, 40B, 40D, 41, 41A, 41B, 41C, 44"
-6.263271207,53.35781939,42,Upper Dorset St (Temple Street),51,"1, 11, 122, 13, 16, 16C, 33, 40, 40B, 40D, 41, 41A, 41B, 41C, 44"
-6.264535982,53.35664238,43,Upper Dorset St (St.Joseph's Parade),52,"1, 11, 122, 13, 16, 16C, 33, 40, 40B, 40D, 41, 41A, 41B, 41C, 44"
-6.262822417,53.35998798,44,North Circular Road (Lower Dorset Street),53,122
-6.265550569,53.36014451,45,North Circular Road (Mater Hospital),54,122
-6.268454563,53.36041139,46,Mater Hospital Mortuary,55,122
-6.276448736,53.36076081,47,Cabra Road (North Circular Road),56,"120, 122"
-6.276598899,53.36076298,48,Cabra Road (North Circular Road),57,"38, 38A, 38B, 38D"
-6.281189547,53.36093705,49,Cabra Road (Charleville Road),58,"120, 122, 38, 38A, 38B, 38D"
-6.284864955,53.36107981,50,Cabra Road (near Annamoe Terrace),59,"122, 38, 38A, 38B, 38D"
-6.289246167,53.36123258,51,Cabra Road (Quarry Road),60,"122, 38, 38A, 38B, 38D"
-6.29273509,53.36679222,52,Faussagh Avenue,63,122
-6.295218122,53.36707938,53,Faussagh Avenue (Church),64,122
-6.298036616,53.36724545,54,Faussagh Avenue (Dingle Road),65,122
-6.30085978,53.36729467,55,Faussagh Avenue (Dingle Road),66,122
-6.304230572,53.36906831,56,Ventry Drive,68,120
-6.303327054,53.37138337,57,Ventry Park Estate,69,120
-6.304424142,53.37024849,58,Pope John Paul II Park,71,120
-6.304234854,53.36896052,59,Ventry Drive,72,120
-6.30070566,53.36739134,60,Faussagh Avenue (Dingle Road),73,122
-6.295455193,53.36716366,61,Faussagh Avenue (Church),74,122
-6.291302661,53.36653803,62,Faussagh Avenue,75,120
-6.289558636,53.36130897,63,Cabra Road (Quarry Road),77,"122, 38, 38A, 38B, 38D"
-6.283976459,53.36112995,64,Cabra Road (near Annamoe Terrace),78,"122, 38, 38A, 38B, 38D"
-6.280780851,53.36101205,65,Cabra Road (Charleville Road),79,"120, 122, 38, 38A, 38B, 38D"
-6.276054324,53.36085398,66,Cabra Road (North Circular Road),80,"120, 122, 38, 38A, 38B, 38D"
-6.271951611,53.36087553,67,North Circular Road (Phibsborough Road),81,46A
-6.271669574,53.36079055,68,Royal Canal Bank,82,"120, 122, 38, 38A, 38B, 38D"
-6.265545461,53.36027027,69,North Circular Road (Mater Hospital),83,122
-6.263702146,53.36015358,70,North Circular Road (Leo Street),84,122
-6.251855554,53.37390318,71,Homefarm Road,85,"1, 13, 16, 33, 41, 41B, 41C, 44"
-6.251151369,53.37605,72,Garda Station,86,13
-6.254865268,53.37675151,73,Sherkin Gardens,87,13
-6.257669185,53.37728682,74,Walnut Rise,88,13
-6.261562105,53.37802668,75,Griffith Avenue (Lambay Road),89,13
-6.265250648,53.38638531,76,Ballymun Road (St.Pappin's Road),90,"13, 4, 9"
-6.265393116,53.38842767,77,Ballymun Road (Glasnevin Avenue),91,"13, 4, 9"
-6.264659214,53.38983712,78,Ballymun Library,92,"13, 17A, 4"
-6.264153341,53.39229249,79,Ballymun Road (Opp Shanlis Road),93,"13, 17A, 4"
-6.26437696,53.39603476,80,Civic Centre,94,"13, 17A, 4"
-6.267705193,53.39776387,81,Balbutcher Lane (Árd Na Meala),102,"13, 220"
-6.276604704,53.39969927,82,Balbutcher Lane (Carrig Road),104,"13, 220"
-6.281753183,53.40292828,83,Balbutcher Lane (Cranogue Road),105,"13, 220"
-6.279668587,53.40203541,84,Balbutcher Lane (Cranogue Road),107,"13, 220"
-6.27670592,53.3997996,85,Knowth Court,108,13
-6.268675528,53.39793973,86,Balbutcher Lane (Árd Na Meala),110,"13, 220"
-6.263966434,53.39614564,87,Civic Centre,112,"13, 17A, 4"
-6.263688228,53.39226774,88,Comprehensive School,113,"13, 17A, 4"
-6.263711229,53.39133332,89,Ballymun Road (Shanliss Road),114,"104, 13, 4"
-6.265037197,53.38793714,90,Ballymun Road (Albert College Drive),115,"13, 4, 9"
-6.259651718,53.37769324,91,Griffith Lawns,116,13
-6.257530686,53.37736569,92,Walnut Rise,117,13
-6.253562055,53.37664256,93,Sherkin Gardens,118,13
-6.250815226,53.37508335,94,Upper Drumcondra Road (Griffith Avenue),119,"1, 13, 16, 16C, 33, 41, 41A, 41B, 41C, 44"
-6.26408696,53.39909547,95,Nursing Home,126,"17A, 4"
-6.263665399,53.39910731,96,Silver Swan Nursing Home,127,"17A, 4"
-6.265823133,53.38931475,97,Glasnevin Avenue (Ballymun Road),128,17A
-6.271407909,53.3898901,98,Glasnevin Ave (Glasnevin Dr),129,"17A, 9"
-6.274166243,53.3900918,99,Glasnevin Park,130,"17A, 9"
-6.278349237,53.39038589,100,Glasnevin Avenue (Beneavin Drive),131,"17A, 9"
-6.282645798,53.39047475,101,Beneavin Park,132,17A
-6.286286843,53.39078773,102,Grove Park Road,133,"83, 83A"
-6.286058837,53.39309438,103,Sycamore Road (Willow Park Crescent),134,"83, 83A"
-6.289856597,53.3943802,104,McKee Road,136,"220, 9"
-6.292615767,53.3923165,105,Clancy Avenue,137,"220, 9"
-6.292335743,53.38992169,106,Saint Canice's School,138,"17A, 83, 83A, 9"
-6.28644469,53.39060125,107,Glasnevin Avenue,139,17A
-6.282353055,53.3906503,108,Beneavin Park,140,17A
-6.278076218,53.39044487,109,Glasnevin Avenue (Beneavin Drive),141,"17A, 9"
-6.274162245,53.39019061,110,Glasnevin Park,142,"17A, 9"
-6.269243734,53.38986773,111,Glasnevin Ave (Glasnevin Dr),143,"17A, 9"
-6.26504541,53.37516523,112,Na Fianna Football Ground,146,"4, 9"
-6.265830862,53.37248023,113,Dean Swift Bridge,147,"4, 9"
-6.268068872,53.37066118,114,Mobhi Road (Botanic Road),148,"4, 9"
-6.265969446,53.37313837,115,Mobhi Road (Mobhí Drive),149,"4, 9"
-6.264995283,53.37565885,116,Na Fianna Football Ground,150,"4, 9"
-6.269293828,53.37195526,117,Botanic Gardens,151,"83, 83A"
-6.270072533,53.37573255,118,Meteorological Office,153,"83, 83A"
-6.275542015,53.37725878,119,Saint Brigid's School,154,"83, 83A"
-6.279560505,53.37787403,120,Old Finglas Road,155,"83, 83A"
-6.281664739,53.37862339,121,Tolka Road Estate #1,156,"83, 83A"
-6.281622802,53.38041141,122,Griffith Road,157,83A
-6.283674539,53.38134872,123,Griffith Road,158,83A
-6.282820088,53.3827835,124,Griffith Parade,159,83A
-6.280472897,53.38843015,125,Beneavin Road,164,9
-6.283756584,53.38902568,126,"Beneavin Road, Junction Beneavin Park",165,9
-6.286290122,53.38958338,127,Beneavin School,166,9
-6.286972558,53.39018639,128,Beneavin Road (Ballygall Road East),167,9
-6.284409069,53.38925077,129,"Beneavin Road, Junction Beneavin Park",168,9
-6.280096884,53.38843372,130,Beneavin Road,169,9
-6.280531724,53.3821214,131,Glasnamana Place,173,83A
-6.280935539,53.38068014,132,Tolka Road Estate,174,83A
-6.281552516,53.37842404,133,Tolka Road Estate #1,175,"83, 83A"
-6.279283583,53.37803183,134,Old Finglas Road,176,"83, 83A"
-6.276209012,53.38046816,135,Ballygall Road East,177,83
-6.276332322,53.38188106,136,West Park Drive,178,83
-6.275990197,53.38030321,137,Ballygall Road East,179,83
-6.274208685,53.37714963,138,Old Finglas Road (Cremore Ave),181,"83, 83A"
-6.269880531,53.37564887,139,Meteorological Office,182,"83, 83A"
-6.268738165,53.37231571,140,Botanic Gardens,183,"83, 83A"
-6.268964699,53.36969448,141,"Botanic Road,Cliftonville",184,"4, 83, 83A, 9"
-6.270021503,53.36809195,142,Botanic Road,185,"4, 83, 83A, 9"
-6.271575323,53.36534614,143,Prospect Road,186,"140, 4, 40, 40B, 40D, 83, 83A, 9"
-6.272432712,53.36272505,144,Phibsboro Road,187,"140, 4, 83, 83A, 9"
-6.272583513,53.3601117,145,Phibsboro Road (NCR),188,"140, 4, 83, 83A, 9"
-6.273468815,53.35716744,146,Broadstone,189,"140, 4, 83, 83A, 9"
-6.273371437,53.35511675,147,Broadstone Depot,190,"140, 4, 83, 83A, 9"
-6.269377287,53.35506787,148,Youth Club,191,"140, 4, 9"
-6.268059633,53.35644191,149,Mountjoy Street,192,"120, 38, 38A, 38B, 38D, 46A"
-6.294089367,53.39118711,150,McKee Road,193,"220, 9"
-6.269964297,53.35504043,151,Saint Dominic's Youth Club,194,"140, 4, 9"
-6.273496272,53.35500171,152,Constitution Hill,195,"140, 4, 83, 83A, 9"
-6.273736052,53.3568747,153,Broadstone Depot,196,"140, 4, 83, 83A, 9"
-6.273231374,53.35895263,154,Phibsboro Road (Monck Place),197,"140, 4, 83, 83A, 9"
-6.27283781,53.36162538,155,Phibsboro Shopping Centre,198,"140, 4, 83, 83A, 9"
-6.27229161,53.36361283,156,Phibsboro Road,199,"140, 4, 83, 83A, 9"
-6.271596444,53.36742269,157,Prospect Way,200,"4, 83, 83A, 9"
-6.270103972,53.3682819,158,Botanic Road,201,"4, 83, 83A, 9"
-6.268904342,53.3700711,159,Fairfield Road,202,"83, 83A"
-6.24993492,53.37639169,160,Whitehall Garda Station,203,"1, 16, 33, 41, 41B, 41C, 44"
-6.246632147,53.37958792,161,Highfield Hospital,204,"1, 16, 33, 41, 41B, 41C, 44"
-6.245339593,53.38141148,162,Swords Road,205,"1, 16, 33, 41, 41B, 41C, 44"
