busId,stops
00840,"[3119, 3120, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 7638, 3130, 3131, 3132, 3133, 5046, 3134, 3136, 3138, 3139, 4124, 4125, 4126, 4127, 4128, 4129, 4130, 4131, 7294, 4156, 4168, 4170, 4132, 4134, 4135, 4136, 4207, 4208, 4209, 4210, 4211, 4212, 4213, 5139, 4214, 4215, 4216, 4217, 4218, 4219, 4220, 4221, 4222, 4224, 4225, 4226, 4227, 4228, 4229, 4230, 4231, 7352, 4246, 4248, 4249, 4251, 4252, 4253, 4254, 6137, 4256, 4257, 4258, 4259, 4956, 7188, 3082, 7660, 3114, 3116, 3117, 3118, 3135, 4250, 3115, 7639, 4305, 4306, 4309, 7272]"
07470,"[4319, 7610, 1476, 7453, 2001, 2002, 1359, 7606, 4724, 4726, 4508, 7402, 7490, 4717, 7489, 2499, 7216, 2501, 7623, 7406, 7409, 7410, 7411, 7401, 3665]"
07571,"[3665, 7400, 3669, 7408, 7407, 7404, 7611, 7398, 7397, 6252, 301, 4494, 2809, 7612, 2811, 842, 1014, 1015, 1074, 7405, 4495]"
00331,"[6048, 5064, 7173, 3811, 3812, 3664, 3813, 3814, 7592, 3816, 3566, 3567, 7292, 3819, 3820, 3822, 3823, 3824, 3565, 3825, 3826, 3827, 3828, 3829, 3831, 3832, 3835, 3836, 3837, 3838, 3840, 3842, 3843, 3845, 3846, 3848, 3850, 3852, 3853, 3854, 3855, 3856, 3857, 3858, 3859, 3860, 3862, 3863, 3748, 6050, 3749, 3752, 3751, 3689, 7594, 3691, 3692, 3694, 3695, 3696, 3697, 3698, 3699, 3885, 1631, 5053, 1633, 1636, 1637, 1639, 1640, 231, 1641, 1642, 213, 214, 4432, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 277, 292, 3818, 3834, 3844, 1632, 1638, 52, 3833, 3849, 3851, 3861, 3750, 1634, 1635, 3815]"
077A1,"[4713, 4714, 4960, 4932, 4933, 2590, 2591, 2592, 2357, 2566, 2568, 2569, 7550, 2570, 2571, 2359, 2360, 4348, 4646, 4647, 2346, 4435, 2604, 2605, 2538, 2606, 2607, 2608, 2609, 2610, 2554, 2425, 2426, 2427, 2428, 2429, 2430, 2371, 2372, 2373, 2377, 2378, 2183, 2185, 7043, 1424, 2186, 2187, 2188, 2189, 1436, 2190, 4434, 2379, 2380, 2382, 5099, 2383, 2002, 1358, 340, 350, 351, 352, 353, 354, 2184, 3952]"
07570,"[1074, 6074, 748, 2905, 494, 495, 7588, 4717, 2499, 7216, 2501, 7623, 7406, 7409, 7410, 7401, 3665]"
00410,"[288, 1171, 1173, 1174, 1175, 15, 17, 18, 21, 7602, 85, 203, 204, 205, 1620, 220, 1622, 1623, 1624, 1625, 1626, 1627, 1628, 1629, 1630, 7348, 1172, 3669, 3671, 3674, 3675, 3676, 5073, 5074, 6054, 4330, 3679, 5075, 5076, 19, 3682, 3864, 3865, 4910, 4911, 4913, 4914, 4915, 4957, 4912, 3672]"
046A0,"[807, 808, 809, 810, 811, 812, 813, 814, 81, 817, 818, 819, 264, 6059, 334, 406, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 761, 763, 2007, 2008, 2009, 2010, 435, 7353, 4571, 2013, 2014, 4636, 762, 2016, 2015, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2017, 2034, 2035, 2036, 2039, 2033]"
00841,"[4260, 7271, 4262, 4263, 4264, 7296, 4265, 4266, 4307, 4271, 4273, 4274, 4275, 4277, 4278, 4279, 4280, 4281, 4282, 4283, 4284, 4285, 4286, 4287, 4288, 4295, 4296, 4297, 4299, 4300, 4301, 4302, 5135, 4303, 4304, 4148, 4149, 3045, 4150, 4151, 4156, 4168, 4170, 4153, 4154, 4416, 4201, 4202, 4203, 4204, 4206, 3140, 3141, 3142, 3143, 3144, 5136, 5047, 3146, 3147, 4268, 3148, 4270, 3149, 3150, 3151, 3153, 4276, 3152, 2995, 3154, 3155, 3156, 3158, 3159, 3161, 3162, 3163, 3164, 3079, 3080, 3081, 7188, 3160, 7653, 4261, 4267, 4269, 4205, 4678]"
00271,"[2353, 4643, 4644, 4645, 4440, 2628, 2629, 6095, 7062, 6075, 2631, 2359, 2360, 4348, 4646, 4647, 2346, 4435, 2632, 2633, 2369, 2370, 2371, 2372, 2373, 2377, 2378, 2183, 2185, 7043, 1424, 2186, 2187, 2188, 2189, 1436, 3952, 2190, 4434, 2379, 2380, 2382, 5099, 2383, 2002, 1358, 298, 496, 497, 515, 516, 4384, 2184, 519, 521, 522, 7659, 523, 669, 671, 672, 1196, 1197, 1198, 1199, 4385, 4695, 1243, 4696, 4697, 1250, 4698, 4383, 4699, 4388, 4700, 1266, 1267, 1268, 1269, 1265, 6115, 4593, 670, 4595, 7490, 4382, 1200, 1201, 4849]"
00270,"[4595, 4596, 1218, 1258, 1259, 1260, 6130, 1262, 4692, 1245, 4693, 1254, 1255, 1256, 4694, 4563, 1249, 1247, 1248, 1273, 1274, 1275, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 1276, 615, 616, 617, 618, 619, 675, 1500, 302, 4494, 4522, 1934, 2310, 2311, 2312, 2313, 2314, 2315, 2094, 1406, 1407, 1409, 2095, 2096, 2097, 2099, 2101, 2102, 2103, 2332, 2333, 2334, 4662, 2335, 2336, 2337, 2339, 2340, 2601, 4446, 2603, 2557, 4436, 5008, 4640, 4347, 2349, 2351, 2621, 2622, 2623, 2624, 4441, 2626, 2669, 4641, 4642, 2355, 4495]"
039A1,"[7048, 7159, 7388, 7017, 7018, 7030, 7021, 6111, 6112, 6113, 1898, 1858, 1859, 1860, 4492, 1861, 1862, 1863, 1864, 1865, 1866, 1850, 1867, 4489, 4747, 1845, 7158, 1847, 1696, 1698, 1700, 1701, 1702, 1703, 1905, 1906, 1907, 1909, 7166, 1697, 7453, 1908, 1713, 1714, 1715, 1478, 1479, 315, 313, 335, 349, 404, 747, 748, 749, 750, 751, 752, 753, 1699, 754, 755, 756, 757, 758, 759, 761, 762, 760, 763, 767]"
007D1,"[3059, 3061, 3062, 3063, 3064, 3065, 3066, 3067, 3202, 3203, 3204, 4568, 4569, 2023, 2024, 2025, 6086, 7419, 7420, 3345, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 7586, 7587, 345, 320, 281, 4, 7555, 3057, 7658, 4529, 4962]"
07471,"[3665, 7400, 3669, 7408, 7407, 7405, 7399, 7611, 7398, 7397, 5140, 620, 1172, 286, 271, 4521, 1935, 1937, 1445, 7609, 4319, 1644]"
00441,"[4096, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123, 3283, 3284, 3310, 3481, 3483, 3484, 3485, 3486, 3487, 3488, 3489, 3492, 2835, 7176, 2836, 2837, 2838, 2839, 2840, 2841, 2865, 2866, 2892, 2893, 2894, 2895, 2896, 2897, 2898, 3562, 2899, 884, 885, 886, 887, 3482, 2900, 2901, 2902, 2903, 1074, 6074, 5034, 495, 400, 319, 278, 7615, 10, 12, 14, 15, 17, 18, 19, 21, 7602, 85, 203, 204, 205, 206, 207, 208, 209, 210, 1643, 7571, 793, 4529]"
00671,"[7074, 3919, 3920, 3921, 3922, 3923, 3112, 3924, 3927, 3928, 3929, 7108, 3935, 3936, 7110, 3939, 3940, 3373, 3374, 2233, 2232, 2234, 2235, 2236, 2237, 2238, 5056, 2239, 2241, 2242, 2243, 2244, 2245, 2246, 2247, 2249, 2250, 1472, 4408, 1474, 1476, 7453, 1478, 1479, 315, 347, 406, 2810, 3938, 7385, 3941, 3943, 3944, 3945, 3946, 4001, 3949, 3950, 3372, 3917, 3918, 3926, 2248, 2251, 1473]"
00650,"[4521, 1283, 4456, 1284, 1285, 1016, 1017, 1018, 1019, 1076, 1077, 1079, 1080, 1081, 1085, 1121, 1122, 1124, 1125, 1127, 1130, 2550, 2551, 2553, 2554, 2555, 2556, 2557, 4436, 5008, 4640, 4347, 2349, 2351, 4445, 2352, 2573, 2576, 2577, 2579, 7395, 6124, 4004, 4005, 4007, 4008, 4010, 4009, 4011, 5110, 4012, 4013, 4014, 4015, 4017, 4018, 4019, 4020, 4100, 4023, 4027, 7250, 7252, 7248, 7254, 7257, 7258, 7260, 7263, 7264, 7268, 7270, 7564, 1020, 1082, 1083, 1123, 4022, 4024, 1078, 2574, 4006, 4098, 4021, 2578]"
00130,"[327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4668, 4677, 2136, 2138, 2139, 2140, 2141, 2143, 2145, 4670, 2165, 4545, 4552, 4554, 7229, 6235, 7603, 1952, 4667, 2137, 7201, 2142, 2166, 324]"
025A1,"[4620, 7563, 3368, 4626, 4627, 4624, 4625, 4628, 4623, 4619, 4561, 4629, 4630, 4631, 4632, 5164, 4633, 2234, 2235, 2236, 2238, 5056, 2239, 2241, 2242, 7626, 7435, 2722, 4413, 1476, 7453, 1478, 1479, 315, 347, 406, 4530, 748, 7390, 2237]"
00391,"[7048, 7159, 7388, 7017, 7018, 7030, 7021, 7163, 1893, 1894, 1895, 1896, 1897, 1898, 1858, 1859, 1860, 4492, 1861, 1862, 1863, 1864, 1865, 1866, 1850, 1867, 4489, 4747, 1882, 7379, 4903, 1883, 1884, 1902, 1903, 1904, 1840, 1841, 1842, 7374, 1845, 7166, 1847, 1696, 1697, 1698, 1699, 6088, 1701, 1702, 1703, 1905, 1906, 1907, 1908, 1909, 1713, 1714, 1715, 7453, 1478, 1479, 315, 313, 335, 349, 404, 7158, 747, 748, 749, 750, 751, 752, 753, 7370, 7339, 1912, 1700]"
00750,"[4342, 4348, 4646, 4647, 4435, 2605, 2538, 2539, 2540, 2542, 6128, 2545, 2547, 2548, 946, 1131, 1132, 1133, 1134, 5131, 5132, 1305, 1306, 1307, 1308, 1309, 4332, 4333, 4334, 4712, 2853, 2854, 2855, 2856, 2857, 2858, 2859, 2860, 2861, 2862, 2864, 4486, 4586, 2872, 2873, 2874, 2877, 2879, 4779, 7057, 4847, 4848, 449, 450, 3181, 447, 5045, 4460, 453, 4477, 3321, 4571, 2013, 2014, 4636, 2016, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2033, 2034, 7394, 2878, 2035, 2036, 2038, 2863, 2544]"
01451,"[4844, 4177, 4178, 4179, 2993, 2994, 4180, 4181, 4182, 4151, 2997, 4153, 4154, 4416, 4201, 4202, 4203, 5090, 4205, 4206, 3140, 3141, 3142, 3143, 3144, 3145, 3146, 3148, 5127, 5128, 2996, 3258, 2060, 2061, 2062, 2063, 2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 770, 771, 772, 773, 774, 775, 776, 777, 906, 908, 909, 786, 792, 7586, 7587, 345, 325, 1443, 1444, 1445, 4407, 4320, 4533, 3147, 769, 907, 4529, 4204]"
