origen_stop,dest_stop,lines
7188,3082,['00840']
3082,7660,['00840']
7660,3114,"['00840', '00040']"
3114,3115,"['00840', '00040']"
3115,3116,"['00840', '00040']"
3116,3117,"['00840', '084A0']"
3117,3119,"['00840', '084A0']"
3119,3120,"['00840', '084A0']"
3120,3122,"['00840', '084A0']"
3122,3123,"['00840', '084A0']"
3123,3124,"['00840', '084A0']"
3124,3126,['00840']
3126,3127,"['00840', '084A0']"
3127,3128,"['00840', '084A0']"
3128,7638,"['00840', '084A0']"
7638,3130,"['00840', '01450', '084A0']"
3130,3131,"['00840', '01450', '084A0']"
3131,3132,"['00840', '01450', '084A0']"
3132,3133,"['00840', '084A0']"
3133,5046,"['00840', '084A0']"
5046,3134,"['00840', '084A0']"
3134,3136,['00840']
3136,3138,"['00840', '01450', '084A0']"
3138,3139,"['00840', '01450', '084A0']"
3139,4124,"['00840', '01450', '045A0', '084A0']"
4124,4125,"['00840', '01450', '045A0', '084A0']"
4125,4126,"['00840', '045A0']"
4126,4127,"['00840', '045A0']"
4127,4128,"['00840', '01450', '045A0', '084A0']"
4128,4129,"['00840', '01450', '045A0', '084A0']"
4129,4130,"['00840', '01450', '045A0', '084A0']"
4130,4131,"['00840', '01450', '045A0', '084A0']"
4131,7294,"['00840', '01450', '045A0', '084A0', '01851']"
7294,4156,"['00840', '045A0', '084A0', '01851']"
4156,4168,"['00840', '00841', '01841', '084A0']"
4168,4170,"['00840', '00841', '084A1', '01840']"
4170,4132,"['00840', '01840', '045A0']"
4132,4134,"['00840', '01840', '045A0']"
4134,4135,"['00840', '01840', '045A0']"
4135,4136,"['00840', '01840', '045A0']"
4136,4207,"['00840', '01840']"
4207,4208,"['00840', '01840']"
4208,4209,"['00840', '01840']"
4209,4210,"['00840', '01840']"
4210,4211,"['00840', '01840', '084X0']"
4211,4212,"['00840', '01840']"
4212,4213,"['00840', '01840']"
4213,4214,['00840']
4214,4215,"['00840', '01840']"
4215,4217,['00840']
4217,4218,['00840']
4218,4219,['00840']
4219,4221,['00840']
4221,4222,['00840']
4222,4224,"['00840', '01840', '084X0']"
4224,4225,"['00840', '01840', '084X0']"
4225,4227,['00840']
4227,4228,"['00840', '01840']"
4228,4229,"['00840', '01840']"
4229,4231,['00840']
4231,7352,['00840']
7352,4246,['00840']
4246,4248,['00840']
4248,4249,['00840']
4249,4250,['00840']
4250,4251,['00840']
4251,4252,['00840']
4252,4253,['00840']
4253,4305,['00840']
4305,4306,['00840']
4306,4309,['00840']
4309,6137,['00840']
6137,4254,['00840']
4254,4256,['00840']
4256,4257,['00840']
4257,4956,['00840']
4956,4258,['00840']
4258,4259,['00840']
4259,7272,['00840']
7272,3118,['00840']
3118,3125,['00840']
3125,3135,['00840']
3135,5139,['00840']
5139,4216,['00840']
4216,4220,['00840']
4220,4226,['00840']
4226,4230,['00840']
4319,7610,['07470']
7610,1476,['07470']
1476,7453,"['07470', '00671', '025A1', '025B1', '01450', '066B1', '00661', '00691', '066A1', '00791', '00261', '067X1', '00251', '066X1', '025D1', '079A1', '051D1', '025X1']"
7453,2001,['07470']
2001,2002,"['07470', '00131', '00401', '01230']"
2002,1359,"['07470', '00131', '01230']"
1359,7606,['07470']
7606,4724,['07470']
4724,4726,['07470']
4726,4508,['07470']
4508,7402,['07470']
7402,7490,['07470']
7490,4717,['07470']
4717,2499,"['07470', '07570']"
2499,7216,"['07470', '07570', '015A1', '015B1']"
7216,2501,"['07470', '07570']"
2501,7623,"['07470', '07570', '01511', '033X0']"
7623,7406,"['07470', '07570']"
7406,7409,"['07470', '07570']"
7409,7410,"['07470', '07570']"
7410,7411,['07470']
7411,7401,['07470']
7401,3665,['07470']
3665,7489,['07470']
3665,7400,"['07571', '07471']"
7400,3669,"['07571', '07471']"
3669,7408,"['07571', '07471']"
7408,7407,"['07571', '07471']"
7407,7404,"['07571', '041X1']"
7404,7405,['07571']
7405,7611,['07571']
7611,7398,"['07571', '07471']"
7398,7397,"['07571', '07471', '01420']"
7397,6252,"['07571', '01420']"
6252,301,"['07571', '01420']"
301,4495,"['07571', '00150']"
4495,2809,['07571']
2809,7612,['07571']
7612,2811,['07571']
2811,842,['07571']
842,1014,['07571']
1014,1015,['07571']
1015,1074,['07571']
7173,3811,"['00331', '033A1']"
3811,3812,"['00331', '033A1']"
3812,3664,"['00331', '033A1']"
3664,3813,"['00331', '033A1']"
3813,3814,"['00331', '033A1']"
3814,7592,"['00331', '033A1']"
7592,3816,"['00331', '033A1']"
3816,3566,"['00331', '033X1', '033A1']"
3566,3567,"['00331', '033X1', '033A1']"
3567,7292,"['00331', '033X1', '033A1']"
7292,3818,"['00331', '033X1', '033A1']"
3818,3819,"['00331', '033X1', '033A1']"
3819,3820,"['00331', '033X1', '033A1']"
3820,3822,"['00331', '033X1', '033A1']"
3822,3823,"['00331', '033X1', '033A1']"
3823,3824,"['00331', '033X1', '033A1']"
3824,3565,"['00331', '033X1', '033A1']"
3565,3825,"['00331', '033X1', '033A1']"
3825,3826,"['00331', '033X1', '033A1']"
3826,3827,"['00331', '033X1', '033A1']"
3827,3828,"['00331', '033X1', '033A1']"
3828,3829,"['00331', '033X1', '033A1']"
3829,3831,"['00331', '033X1', '033A1']"
3831,3832,"['00331', '033X1', '033A1']"
3832,3833,"['00331', '033X1', '033A1']"
3833,3834,"['00331', '033X1', '033A1']"
3834,3835,"['00331', '033X1', '033A1']"
3835,3836,"['00331', '033X1', '033A1']"
3836,3837,"['00331', '033X1', '033A1']"
3837,3838,"['00331', '033X1', '033A1']"
3838,3840,"['00331', '033X1', '033A1']"
3840,3842,"['00331', '033X1', '033A1']"
3842,3843,"['00331', '033X1', '033A1']"
3843,3844,"['00331', '033X1', '033A1']"
3844,3845,"['00331', '033X1', '033A1']"
3845,3846,"['00331', '033X1']"
3846,3848,"['00331', '033X1']"
3848,3849,"['00331', '033X1', '033A1']"
3849,3850,"['00331', '033X1', '033A1']"
3850,3852,['00331']
3852,3853,"['00331', '033X1', '033A1']"
3853,3854,"['00331', '033X1', '033A1']"
3854,3855,"['00331', '033X1']"
3855,3856,"['00331', '033X1']"
3856,3857,"['00331', '033X1']"
3857,3858,"['00331', '033X1']"
3858,3860,"['00331', '033X1']"
3860,3861,"['00331', '033X1']"
3861,3862,"['00331', '033X1', '033A1']"
3862,3863,"['00331', '033X1', '033A1']"
3863,3748,"['00331', '033X1', '033A1']"
3748,6050,"['00331', '033X1', '033A1']"
6050,3749,"['00331', '033A1']"
3749,3752,['00331']
3752,3751,"['00331', '041C1', '00431', '033B1', '041A1', '041X1']"
3751,3689,"['00331', '00431', '033B1', '041A1']"
3689,7594,"['00331', '00431', '033B1', '041A1', '041B1']"
7594,3691,['00331']
3691,3692,['00331']
3692,3694,['00331']
3694,3695,"['00331', '00411', '041A1', '041B1', '041X1']"
3695,3696,"['00331', '00411', '041A1', '041B1']"
3696,3698,['00331']
3698,3885,['00331']
3885,1631,"['00331', '041A1', '041B1']"
1631,6048,['00331']
6048,1633,['00331']
1633,1634,"['00331', '041C1', '00160', '041A1', '041B1']"
1634,1636,"['00331', '00160', '027B1', '041A1']"
1636,1637,"['00331', '00411', '041C1', '00160', '027B1', '041A1', '016C0', '041B1']"
1637,51,['00331']
51,52,"['00331', '00130', '00400', '00411', '041C1', '00160', '040D1', '01220', '00110', '00440', '041A1', '040B1', '016C0', '041B1']"
52,277,"['00331', '00411', '041C1', '041A1', '041B1']"
277,292,['00331']
292,3859,['00331']
3859,3750,['00331']
3750,3697,['00331']
3697,3699,['00331']
3699,5053,['00331']
5053,1635,"['00331', '041A1']"
1635,1638,['00331']
1638,1639,"['00331', '00411', '041C1', '00160', '041A1', '016C0', '041B1']"
1639,1640,"['00331', '00411', '041C1', '00160', '041A1', '016C0', '041B1']"
1640,231,"['00331', '00411', '041C1', '00160', '041A1', '016C0', '041B1']"
231,1641,"['00331', '00411', '041C1', '041A1', '041B1']"
1641,1642,"['00331', '00411', '041C1', '00010', '041A1', '041B1']"
1642,213,"['00331', '00411', '041C1', '041A1', '041B1']"
213,214,"['00331', '00411', '041C1', '00160', '00010', '00440', '041A1', '016C0', '041B1']"
214,4432,"['00331', '00411', '041C1', '00160', '00440', '041A1', '016C0', '041B1']"
4432,119,"['00331', '00411', '041C1', '00160', '00010', '00440', '041A1', '016C0', '041B1']"
119,44,"['00331', '00130', '041C1', '00160', '00440', '041A1', '016C0', '041B1']"
44,45,['00331']
45,46,"['00331', '00130', '041C1', '00160', '00010', '00110', '00440', '041A1', '016C0', '041B1']"
46,47,"['00331', '00130', '00411', '041C1', '00160', '00010', '00110', '00440', '041A1', '016C0', '041B1']"
47,5064,['00331']
5064,48,['00331']
48,49,"['00331', '00130', '00411', '041C1', '00160', '00010', '00110', '00440', '041A1', '016C0', '041B1']"
49,1632,['00331']
1632,3851,['00331']
3851,7603,['00331']
7603,3815,['00331']
6074,748,['07570']
748,2905,['07570']
2905,494,['07570']
494,495,"['07570', '066B0', '007A1', '00071', '00660', '01200', '00670', '025B0', '00041', '025A0', '066A0', '00260', '00250', '027X0']"
495,7588,['07570']
7588,4717,['07570']
7410,7401,['07570']
7401,1074,['07570']
1074,3665,['07570']
807,808,['046A0']
808,809,['046A0']
809,810,['046A0']
810,811,['046A0']
811,812,['046A0']
812,813,['046A0']
813,814,['046A0']
814,81,['046A0']
81,817,['046A0']
817,818,"['046A0', '01201', '038A1', '038D1']"
818,819,"['046A0', '01201', '038A1', '038D1']"
819,264,"['046A0', '01400']"
264,6059,"['046A0', '01400']"
6059,334,"['046A0', '01400', '007D0']"
334,406,"['046A0', '01450', '007D0']"
406,747,"['046A0', '01450', '067X1', '066X1', '025X1', '007D0']"
747,842,"['046A0', '01450', '00110', '032X0', '041X1', '007D0', '007B0']"
842,845,"['046A0', '01450', '00110', '041X1', '007D0', '007B0']"
845,846,"['046A0', '00371', '01450', '00110', '041X1', '007D0', '007B0']"
846,847,"['046A0', '01450', '00110', '041X1', '007D0', '007B0']"
847,848,"['046A0', '01450', '00110', '041X1', '007D0', '007B0']"
848,2795,"['046A0', '01450', '041X1', '01160', '007D0', '007B0']"
2795,756,"['046A0', '01450', '041X1', '01160', '007D0', '007B0']"
756,758,"['046A0', '067X1']"
758,759,"['046A0', '039A1', '01450', '077X1', '066X1', '051X1', '041X1', '025X1', '01160', '007D0', '007B0']"
759,760,"['046A0', '039A1', '01450', '067X1', '077X1', '066X1', '051X1', '032X0', '041X1', '025X1', '01160', '007D0', '007B0']"
760,762,"['046A0', '051X1', '041X1']"
762,763,"['046A0', '01450', '051X1', '032X0', '041X1', '025X1', '01160', '007D0', '007B0']"
763,2007,"['046A0', '01450', '00470', '01160', '007D0', '007B0']"
2007,2008,"['046A0', '01450', '00170', '00470', '01160', '007D0', '007B0']"
2008,757,['046A0']
757,2009,['046A0']
2009,2010,"['046A0', '01450', '00170', '01160', '007D0', '007B0']"
2010,435,"['046A0', '01450', '01160', '007D0', '007B0']"
435,7353,"['046A0', '01450', '007D0', '007B0']"
7353,761,['046A0']
761,4571,['046A0']
4571,2013,"['046A0', '01450']"
2013,2014,"['046A0', '00750', '01450']"
2014,4636,"['046A0', '00750', '01450']"
4636,2016,"['046A0', '00750', '01450']"
2016,2015,"['046A0', '00750', '01450']"
2015,2017,"['046A0', '00750', '01450']"
2017,2018,"['046A0', '00750']"
2018,2019,"['046A0', '00750']"
